"data","count"
"E-","95415"
"JO","95102"
"(B","95090"
"f","95034"
"L,","94664"
"WN","94629"
"OB","94158"
"Ry","93532"
"A","93460"
".C","93388"
"KO","93285"
"X4","93285"
"kr","93009"
"F.","92662"
"Y,","92641"
"y)","92493"
"VD","92434"
"Wt","92345"
"t'","92299"
"3)","92283"
".t","92204"
"R","92054"
"QU","92032"
"EI","92013"
",9","91758"
"UB","91743"
"nw","91648"
",8","91396"
"PT","91380"
"0)","91189"
"WC","90706"
"wk","90455"
"GU","90427"
"y'","90237"
",7","89957"
"-r","89898"
"jp","89640"
"Os","89629"
"(U","89123"
"kt","88981"
"'t","88644"
"-I","88490"
"sr","88415"
"O.","88083"
"d'","87454"
"(s","87092"
"By","86935"
"e_","86914"
"UP","86784"
"#1","86601"
"yw","86448"
"FF","86213"
"5'","85799"
"cC","85575"
"DF","85416"
"Io","85365"
"fy","84842"
"D,","84539"
"##","84128"
"s;","83980"
"-T","83970"
".e","83629"
"Rh","83556"
"LP","83352"
"-L","83347"
"(L","83106"
"QL","82413"
"-W","82353"
"p,","82133"
"°3","82122"
"tb","82081"
"(G","82080"
"np","81877"
"wf","81843"
"AW","81804"
"UG","81777"
">5","81757"
" –","81699"
"HY","81651"
"CY","81647"
"rz","81365"
"Ei","81357"
"6""","81080"
"PG","81043"
"YA","81014"
"b-","80710"
"TW","80588"
"– ","80552"
"/a","80519"
".p","80377"
"4)","79999"
"n:","79933"
"u,","79903"
"lh","79817"
"DN","79665"
"HC","79579"
"/S","79541"
"P-","79412"
"C,","79210"
"S:","79027"
"T-","78907"
"hv","78717"
" $","78714"
"LB","78560"
"D-","78515"
"T,","78144"
"h-","78087"
"0M","77682"
"TM","77472"
"DG","77437"
"BY","76969"
"ej","76969"
"YN","76747"
"I-","76608"
"k.","76462"
"TB","76427"
"OI","76073"
"NL","75658"
"X1","75547"
".R","75201"
"LM","75122"
"? ","75118"
"DL","74962"
"PN","74804"
"J-","74707"
"-i","74682"
"LV","74649"
"p-","74279"
"Zi","74005"
"CP","73631"
"I.","73490"
" +","73298"
"r/","73156"
"Ky","73077"
"i.","72999"
"d:","72897"
"°2","72815"
"-v","72738"
"**","72683"
"_1","72656"
"aq","72625"
"T1","72565"
"4""","72538"
"GY","72445"
"h)","72367"
"IZ","72306"
"fs","72287"
"gm","72219"
"OY","72075"
".)","71985"
"Sn","71861"
"C1","71543"
"vr","71062"
"Id","70862"
"a'","70504"
"X-","70287"
"pg","70193"
"-E","70104"
"5)","69810"
"hd","69775"
"hh","69767"
"kk","69702"
"Et","69263"
"z)","69262"
"Lt","69085"
".P","68974"
"Dy","68852"
"n_","68821"
"w.","68818"
"% ","68673"
"Ov","68552"
"UK","68519"
"Ic","68306"
"JE","68163"
"0m","68051"
"I,","67903"
"hk","67721"
"7°","67597"
"(f","67380"
"OE","67156"
"BS","67130"
"/n","67053"
"SV","66911"
"w,","66896"
"0a","66890"
"wt","66859"
"ww","66752"
"//","66741"
"lr","66718"
"Y.","66601"
" <","66284"
"wb","66219"
"°4","66218"
"(3","66209"
"LN","66154"
